fig|272559.3.peg.3133	(R)-citramalate synthase (EC 2.3.1.182)	1	-7.000	Bacteroides fragilis
fig|817.1.peg.54,fig|295405.3.peg.1961,fig|272559.3.peg.2231	1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	3	-8.000	Bacteroides fragilis
fig|295405.3.peg.3382,fig|272559.3.peg.3083	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	1	-8.000	Bacteroides fragilis
fig|295405.3.peg.793,fig|272559.3.peg.670	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	1	-9.000	Bacteroides fragilis
fig|272559.3.peg.3313	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	1	-6.000	Bacteroides fragilis
fig|295405.3.peg.3656,fig|272559.3.peg.3671,fig|817.1.peg.3200	2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)	12	-6.333	Bacteroides fragilis
fig|295405.3.peg.134	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	5	-8.400	Bacteroides fragilis
fig|272559.3.peg.3932	2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	1	-7.000	Bacteroides fragilis
fig|272559.3.peg.2857	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	3	-7.333	Bacteroides fragilis
fig|295405.3.peg.3091,fig|272559.3.peg.2699	2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	1	-5.000	Bacteroides fragilis
fig|272559.3.peg.3136,fig|295405.3.peg.2444,fig|817.1.peg.3786	2-isopropylmalate synthase (EC 2.3.3.13)	2	-8.000	Bacteroides fragilis
fig|295405.3.peg.3997,fig|817.1.peg.2117,fig|272559.3.peg.3345	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54) / Chorismate mutase I (EC 5.4.99.5) # AroAI beta/AroH	1	-7.000	Bacteroides fragilis
fig|817.1.peg.2713,fig|272559.3.peg.1550,fig|295405.3.peg.1792,fig|295405.3.peg.4428	2-oxoglutarate oxidoreductase, alpha subunit (EC 1.2.7.3)	5	-6.875	Bacteroides fragilis
fig|295405.3.peg.1790,fig|817.1.peg.2712,fig|272559.3.peg.1548	2-oxoglutarate oxidoreductase, beta subunit (EC 1.2.7.3)	1	-7.000	Bacteroides fragilis
fig|295405.3.peg.4558,fig|272559.3.peg.3172,fig|817.1.peg.2046	3'-to-5' exoribonuclease RNase R	1	-6.000	Bacteroides fragilis
fig|295405.3.peg.757,fig|817.1.peg.3606,fig|272559.3.peg.40	3,4-dihydroxy-2-butanone 4-phosphate synthase / GTP cyclohydrolase II (EC 3.5.4.25)	1	-6.000	Bacteroides fragilis
fig|817.1.peg.975	3-carboxymuconate cyclase	1	-7.000	Bacteroides fragilis
fig|295405.3.peg.2386,fig|272559.3.peg.3132	3-isopropylmalate dehydrogenase (EC 1.1.1.85)	1	-8.000	Bacteroides fragilis
fig|295405.3.peg.467,fig|272559.3.peg.60,fig|817.1.peg.465	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	5	-5.750	Bacteroides fragilis
